name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
BOMM,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 42,129.08627852316098,35.2284223684616
이솝페이블,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 16,129.087128935343,35.2295865267446
바다커피숍,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 21,129.085682383023,35.2265528473883
토즈모임센터부산대점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 71,129.086290913862,35.2310002015706
나무그늘,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
원두커피볶는집,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 29,129.085726499992,35.2273907347099
카페헤세이티,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로91번길 22,129.085813736256,35.233113709492706
Cafeon,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로91번길 14,129.086186372343,35.2330472696071
빈스에스프레소,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 59-7,129.085815761575,35.2299678789269
궁금한카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 77,129.08643029588998,35.231566819317
카페봄,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 42,129.08627852316098,35.2284223684616
달콤커피부산대점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 20,129.087304922081,35.229602973629106
간단하지만특별한화피디Cafe봄봄장전점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 151,129.087682107618,35.238108596901796
커피엔스타,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
헬로멜로옐로,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 46,129.08628284787702,35.2287468261962
앤커피숍,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 149,129.08767982139,35.23793735566829
엠제이커피로스터리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 127-1,129.087489898988,35.2360551823655
자스민커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로68번길 42,129.08869807424,35.2302754993617
달콤,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 20,129.087304922081,35.229602973629106
청와삼대,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 151,129.087682107618,35.238108596901796
분홍숲,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 19,129.087373352321,35.229791648520205
베러먼데이,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 63-1,129.086041330951,35.2304075310269
카페비윤,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 27,129.087759158406,35.2290670789075
간단하지만특별한화피디Cafe,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 27,129.087759158406,35.2290670789075
비윤,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 27,129.087759158406,35.2290670789075
간단하지만특별한화피디Cafe,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로91번길 22,129.085813736256,35.233113709492706
원더러스트,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 187,129.087869567693,35.241451022679
크로체,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 94,129.087261060014,35.2329024140501
헨젤과그레텔,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 14,129.087141602715,35.2297126060431
팔공티,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 37,129.088336949744,35.229557643743604
번아웃커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 48,129.088958589246,35.2292185426931
화이트펜슬스터디카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
컵넛,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로149번안길 18,129.08698995665898,35.2372855473999
카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 20,129.086807484009,35.2277235583279
구디너프,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 21,129.087408389745,35.2291243132681
웍스커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 63-1,129.086041210839,35.2303985183141
105,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 111,129.083687807114,35.2368194004771
화양연화,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 301-1,129.085935660019,35.2348432624975
백조,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 308,129.086374163559,35.235596485284795
카페드팽,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 247-7,129.08428169093798,35.230261057959105
두기보드게임,음식,커피점/카페,Q12A04,보드게임카페,부산광역시 금정구 금강로 265,129.085060004458,35.23178642794271
네로커피나라,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 336,129.08669042609802,35.2378921603016
컴포즈커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 248-10,129.085443379261,35.230052342886296
백화,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 175,129.081718743262,35.224217701989105
두커피로스터스,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로321번길 66,129.082932708303,35.237042489748504
맘사랑카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 217,129.081919910283,35.2286146388292
