,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
63342,씨엘PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 동래구 금강로 174,129.082034032577,35.2239715114906
63356,인터칸PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로565번길 11,129.087024331396,35.2579718284527
66061,E네이쳐,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로565번길 22,129.086566445463,35.2582463534747
66102,바둑기원,관광/여가/오락,PC/오락/당구/볼링등,N01A09,기원,부산광역시 금정구 금강로 570,129.087875101953,35.258315718807005
70727,ps존,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 249,129.084700891544,35.230392509029
100531,엔터존PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로279번길 81-6,129.08342971478,35.2355868225305
110593,아이린PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 700,129.08931520837498,35.26984936196
113996,라이또PC방구서점,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로565번길 26,129.086314082072,35.2582756606054
115674,로떼PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로279번길 81-14,129.083181493957,35.2359225542368
117359,아이러브칼라피씨방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 동래구 금강로 150,129.081183738469,35.221978043860204
117991,대박PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 672,129.089292417558,35.26732572220121
118005,아이비스PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로709번길 5,129.088808949433,35.2706200861555
123193,옥스PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
133000,장동민의옹피씨,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 567,129.087586764653,35.258120008291705
133580,장동민의옹피씨,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 동래구 금강로 90,129.078734922638,35.217051306328
139194,장동민의옹피씨,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 338,129.086681965393,35.238081525622505
147614,네버랜드pc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 장전로12번길 45,129.088197886802,35.2298383214711
