상호,우편번호,영업소소재지(도로명),영업소소재지(지번),업종명
자비스 PC,46291,"부산광역시 금정구 장전온천천로 51 (장전동, 테라스파크)",부산광역시 금정구 장전동 643-117번지,인터넷컴퓨터게임시설제공업
공간PC,46221,"부산광역시 금정구 금강로709번길 5, 지하1층 101호 (남산동, 맥스빌아파트)",부산광역시 금정구 남산동 321-1번지 맥스빌아파트,인터넷컴퓨터게임시설제공업
아이센스PC방,46264,부산광역시 금정구 금사로 93 (금사동),부산광역시 금정구 금사동 384-2번지,인터넷컴퓨터게임시설제공업
해피로 PC 장전점,46282,"부산광역시 금정구 부산대학로64번길 137, 2층 (장전동, 하나로빌딩)",부산광역시 금정구 장전동 155-4번지,인터넷컴퓨터게임시설제공업
3POP PC CAFE(부산대점),46291,"부산광역시 금정구 부산대학로 29, 2층 (장전동, 네오스퀘어)",부산광역시 금정구 장전동 414-23번지,인터넷컴퓨터게임시설제공업
히트 PC,46283,부산광역시 금정구 금정로149번길 13 (장전동),부산광역시 금정구 장전동 222-2번지,인터넷컴퓨터게임시설제공업
아이비스 PC,46313,부산광역시 금정구 서금로 5 (서동),부산광역시 금정구 서동 171-19번지,인터넷컴퓨터게임시설제공업
노리 PC,46243,부산광역시 금정구 구서로 7 (구서동),부산광역시 금정구 구서동 415-1번지,인터넷컴퓨터게임시설제공업
바벨PC 시즌2,46228,부산광역시 금정구 금강로565번길 26 (구서동),부산광역시 금정구 구서동 1018-20번지,인터넷컴퓨터게임시설제공업
아이린 PC방,46220,"부산광역시 금정구 금강로 700, 남산시장빌딩 (남산동)",부산광역시 금정구 남산동 93-1번지 남산시장빌딩,인터넷컴퓨터게임시설제공업
로떼PC방,46287,부산광역시 금정구 금강로279번길 81-14 (장전동),,인터넷컴퓨터게임시설제공업
옥스PC방,46288,"부산광역시 금정구 금강로 271-5, 4층 (장전동)",부산광역시 금정구 장전동 401-5번지,인터넷컴퓨터게임시설제공업
아이센스리그 PC,46243,"부산광역시 금정구 구서로 13, 지하1층 (구서동)",부산광역시 금정구 구서동 414-15번지,인터넷컴퓨터게임시설제공업
어쎄신PC클럽(부산본점),46246,"부산광역시 금정구 금강로 379, 제이씨빌딩 (장전동)",부산광역시 금정구 장전동 95번지 제이씨빌딩,인터넷컴퓨터게임시설제공업
오엑스 피시 온천장역점,46301,부산광역시 금정구 식물원로 11 (장전동),부산광역시 금정구 장전동 607-37번지,인터넷컴퓨터게임시설제공업
아이앤락PC,46328,"부산광역시 금정구 서동로 178, 3층 (서동)",부산광역시 금정구 서동 210-1번지,인터넷컴퓨터게임시설제공업
DOXX the AGON PC,46306,"부산광역시 금정구 부곡로 43, 2층 (부곡동)",부산광역시 금정구 부곡동 392-5번지,인터넷컴퓨터게임시설제공업
OX PC 구서역점,46243,"부산광역시 금정구 중앙대로1841번길 23, 현대타운 2층 (구서동)",부산광역시 금정구 구서동 86-1번지 현대타운,인터넷컴퓨터게임시설제공업
라이또 PC방 남산점,46220,"부산광역시 금정구 금강로 694, 2층 205호 (남산동, 거성리젠시)",부산광역시 금정구 남산동 96-1번지 거성리젠시,인터넷컴퓨터게임시설제공업
긱스타 PC카페,46293,"부산광역시 금정구 부산대학로 49, 오션프라자 2층 (장전동)",부산광역시 금정구 장전동 420-1번지 오션프라자,인터넷컴퓨터게임시설제공업
터치나인PC구서점,46228,"부산광역시 금정구 금강로 567, 3층 (구서동)",부산광역시 금정구 구서동 654-52번지,인터넷컴퓨터게임시설제공업
땡큐PC,46327,"부산광역시 금정구 서명로 3, 1층 (서동)",부산광역시 금정구 서동 295-35번지,인터넷컴퓨터게임시설제공업
