,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
94896,푸주옥설렁탕도가니탕,음식,한식,Q01A09,설렁탕집,부산광역시 금정구 금정로 248,129.092548111375,35.245401976603496
94965,한바다횟집,음식,일식/수산물,Q03A01,횟집,부산광역시 금정구 금정로19번길 5,129.085372437943,35.226375350917294
96034,해운대통바지,음식,한식,Q01A99,기타고기요리,부산광역시 금정구 금정로231번길 32,129.089216019974,35.2451886402124
96208,아리산,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 금정로68번길 31-6,129.088419345724,35.2307917918991
96668,놀부부대찌개철판구이부산대점,음식,한식,Q01A07,부대찌개/섞어찌개,부산광역시 금정구 금정로 57,129.08607613919702,35.2297221705982
96702,투다리구서점,음식,유흥주점,Q09A03,꼬치구이전문점,부산광역시 금정구 금정로233번길 37,129.090803588077,35.2464092270431
96847,통큰집,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로60번길 7-3,129.086773790318,35.2301395570691
97659,유가네닭갈비,음식,닭/오리요리,Q05A02,닭갈비전문,부산광역시 금정구 금정로 59-5,129.085936347537,35.2299487695836
99133,웃기는짬뽕24시,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 금정로233번길 73-3,129.090986976882,35.247795693198704
101767,마포통참숯구이,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로 205,129.088997441463,35.242810972536205
102295,구르메키친,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로60번길 23-8,129.08762923587,35.2300327219113
102484,도미노피자부산대점,음식,패스트푸드,Q07A01,피자전문,부산광역시 금정구 금정로 54,129.086412322808,35.22939465723629
102594,홍춘천치즈닭갈비,음식,닭/오리요리,Q05A02,닭갈비전문,부산광역시 금정구 금정로 82,129.08692880185302,35.2318778264586
102811,중화포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 금정로231번길 28-1,129.08934773426202,35.24517844092671
103185,로지,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금정로52번길 47,129.088636920538,35.2289870775457
103312,킹콩닭강정,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로 60,129.086650800721,35.2299784130174
104513,비어토토,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금정로237번길 38,129.091684326448,35.248176996185705
105849,일호포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 금정로233번길 59,129.091013175226,35.247290686416
106044,돈본가,음식,한식,Q01A99,기타고기요리,부산광역시 금정구 금정로 155,129.08772011746998,35.238486833964295
106624,한입김밥맛있지요,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금정로233번길 46,129.091320797576,35.2472879127374
106820,싸다구,음식,일식/수산물,Q03A01,횟집,부산광역시 금정구 금정로91번길 6,129.086636741322,35.233043227260794
108287,라그라스,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로91번길 22,129.085813736256,35.233113709492706
108341,노랑통닭부산대점,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로91번길 19,129.085865656737,35.232887899045004
109236,서브웨이부산대역점,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금정로60번길 40,129.088399484198,35.2293046953628
112241,포유,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 금정로233번길 39,129.090935183364,35.246390013325
113249,조은날포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 금정로231번길 37,129.088830296803,35.2451019734997
114336,낙지볶음안경희개미집금정직영점,음식,일식/수산물,Q03A13,낙지/오징어,부산광역시 금정구 금정로 204,129.089145700803,35.2423950049878
114510,요거프레소장전역점,음식,패스트푸드,Q07A07,아이스크림판매,부산광역시 금정구 금정로149번길 13,129.087074910222,35.2378887076113
115662,장수추어탕,음식,한식,Q01A14,추어탕전문,부산광역시 금정구 금정로185번길 15,129.08709054244198,35.2415301327115
116462,처갓집양념치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로149번길 8,129.087308848398,35.2381299782474
116821,꾸브라꼬숯불두마리치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로207번길 32,129.087899419594,35.2436861695685
119029,골드카페,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로207번길 24,129.08822647205,35.2434939400647
119207,6070노래공짜,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 금정로233번길 55,129.09092383438602,35.247183326676705
119324,고기는모름지기연탄구이,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로91번길 2,129.08671243159299,35.232952409867295
121324,오덕돈까스까페101,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로231번길 37,129.088830296803,35.2451019734997
122177,미소스시,음식,일식/수산물,Q03A03,음식점-초밥전문,부산광역시 금정구 금정로 244,129.092236991206,35.2451433857868
122714,지앤지엔젤레스토랑,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로 242,129.091958469075,35.244857458729705
122969,빼돌린뒷고기,음식,한식,Q01A99,기타고기요리,부산광역시 금정구 금정로231번길 21,129.089596077082,35.2448517097107
124029,836숯불바베큐치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로91번길 22,129.085813736256,35.233113709492706
124174,리앤쿡,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로207번길 24,129.08822647205,35.2434939400647
124437,오복미역,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로 251,129.092304372163,35.2460711951549
124867,통큰해녀이복순,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로231번길 21,129.089596077082,35.2448517097107
125383,에픽키친,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로 62-1,129.086599004237,35.230213236547996
125417,메트로오아시스,음식,한식,Q01A99,기타고기요리,부산광역시 금정구 금정로52번길 45,129.088438124214,35.228907741159894
125648,유메노다이닝,음식,일식/수산물,Q03A02,음식점-일식,부산광역시 금정구 금정로231번길 15,129.089990253119,35.244749008779394
126333,아특대,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로231번길 11,129.090120760302,35.2446486818732
126506,수,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 금정로 251,129.092304372163,35.2460711951549
126522,대한고기만세,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로231번길 29,129.089191395918,35.2449905589759
126637,제이노래주점,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 금정로 155-1,129.087721802154,35.2386130117026
126687,푸라닭,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금정로 9-1,129.085526630427,35.225580754106204
126717,배비장,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로 239,129.091457573399,35.245195486427995
126789,"맛있는불고기,제임스",음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로 92,129.087115735293,35.2327144298569
127150,티엠스퀘어엠박스,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로 94,129.087261060014,35.2329024140501
127289,키햐아,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로91번길 8,129.086526053993,35.232981124401
127290,크랩-BAR,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로233번길 55,129.09092383438602,35.247183326676705
127425,진가원,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로233번길 31,129.090724631381,35.24625670471921
127548,브라더스커피,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금정로60번길 28,129.087864150771,35.2295258386707
127575,보물섬도매횟집,음식,일식/수산물,Q03A01,횟집,부산광역시 금정구 금정로237번길 16,129.09173646495898,35.2463287049567
127763,닭갈비제작소,음식,닭/오리요리,Q05A02,닭갈비전문,부산광역시 금정구 금정로 71,129.086290913862,35.2310002015706
128028,땅콩비어,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금정로 153,129.087718553129,35.2383696689192
